i;prices_koCall;prices_kiCall;prices_koPut;prices_kiPut;richardson_koCall;richardson_kiCall;richardson_koPut;richardson_kiPut;cv_koCall;cv_kiCall;cv_koPut;cv_kiPut;
0;0;-1.#IND;0;-1.#IND;9.38454;-1.#IND;10.3802;-1.#IND;-1.#IND;-1.#IND;-1.#IND;-1.#IND;
144;2.2134;1.51695;3.15786;1.07001;2.65209;1.07128;2.95351;1.26737;2.20714;1.51069;3.15159;1.06374;
145;2.36236;1.35982;2.98618;1.23352;2.48337;1.24816;3.10521;1.12382;2.36427;1.36173;2.98808;1.23542;
146;2.51789;1.21233;3.13836;1.08937;2.30821;1.4153;2.9338;1.28722;2.51176;1.2062;3.13223;1.08323;
147;2.3425;1.37988;2.96661;1.25329;2.46344;1.2679;3.08579;1.14306;2.34421;1.38159;2.96831;1.25499;
148;2.49802;1.23207;3.11906;1.10854;2.28855;1.43511;2.91432;1.30685;2.49202;1.22608;3.11305;1.10254;
149;2.3229;1.39968;2.94726;1.27283;2.44376;1.2874;3.06656;1.16211;2.32441;1.40119;2.94876;1.27434;
150;2.47837;1.25159;3.09994;1.12753;2.26916;1.45464;2.89506;1.32624;2.4725;1.24572;3.09406;1.12166;
151;2.30355;1.41922;2.92812;1.29216;2.42431;1.30667;3.04752;1.18097;2.30488;1.42054;2.92944;1.29348;
152;2.45896;1.27088;3.08101;1.14634;2.25002;1.47391;2.87602;1.34541;2.45321;1.26513;3.07526;1.14059;
153;2.28445;1.43849;2.9092;1.31126;2.4051;1.32571;3.02868;1.19964;2.2856;1.43964;2.91034;1.3124;
154;2.43977;1.28994;3.06226;1.16496;2.23113;1.49292;2.85721;1.36435;2.43415;1.28432;3.05664;1.15933;
155;2.2656;1.45751;2.89049;1.33014;2.38612;1.34452;3.01003;1.21811;2.26658;1.45849;2.89146;1.33111;
156;2.42081;1.30878;3.04371;1.1834;2.2125;1.51167;2.8386;1.38307;2.41531;1.30328;3.0382;1.17789;
157;2.247;1.47628;3.17314;1.04765;2.36737;1.3631;3.11322;1.11475;2.24782;1.47709;3.17395;1.04846;
158;2.40207;1.3274;3.02534;1.20165;2.19412;1.53016;3.243;0.978786;2.3967;1.32202;3.01995;1.19626;
159;2.22864;1.49479;3.15563;1.06532;2.34884;1.38146;3.09532;1.13249;2.2293;1.49545;3.15628;1.06597;
160;2.38356;1.34579;3.00715;1.21971;2.17598;1.54841;3.22593;0.995962;2.3783;1.34053;3.00188;1.21445;
161;2.51798;1.2056;3.13826;1.08283;2.02369;1.70644;3.07759;1.15006;2.51849;1.20611;3.13877;1.08333;
162;2.36526;1.36397;2.98915;1.2376;2.15809;1.5664;3.20899;1.01301;2.36012;1.35883;2.984;1.23245;
163;2.50024;1.22349;3.12104;1.1002;2.43726;1.29272;3.06002;1.16747;2.5006;1.22386;3.1214;1.10055;
164;2.34719;1.38193;2.97133;1.25531;2.57231;1.15229;3.19217;1.02992;2.34216;1.3769;2.96629;1.25027;
165;2.48267;1.2412;3.10397;1.11741;2.41949;1.31033;3.04261;1.18472;2.48289;1.24142;3.10419;1.11763;
166;2.32932;1.39968;2.95369;1.27283;2.55502;1.16967;3.17548;1.04671;2.32441;1.39477;2.94877;1.26791;
167;2.46528;1.25872;3.08704;1.13447;2.40191;1.32776;3.02537;1.20181;2.46537;1.25881;3.08712;1.13456;
168;2.31168;1.41722;2.93623;1.29017;2.53789;1.18689;3.15892;1.06336;2.30687;1.41242;2.93142;1.28537;
169;2.44808;1.27606;3.07026;1.15139;2.38453;1.34499;3.00829;1.21874;2.44804;1.27602;3.07021;1.15134;
170;2.29424;1.43455;2.91895;1.30734;2.52092;1.20394;3.14249;1.07988;2.28955;1.42985;2.91426;1.30265;
171;2.43105;1.29321;3.05362;1.16815;2.36734;1.36203;2.99137;1.23551;2.43088;1.29305;3.05345;1.16798;
172;2.27701;1.45167;3.18716;1.03903;2.50412;1.22082;2.84145;1.381;2.27242;1.44708;3.18257;1.03444;
173;2.41419;1.31018;3.03713;1.18476;2.35035;1.37888;2.97461;1.25212;2.41391;1.3099;3.03684;1.18447;
174;2.25998;1.46858;3.17096;1.05512;2.48748;1.23755;2.82455;1.39798;2.25551;1.46411;3.16648;1.05064;
175;2.39752;1.32697;3.02078;1.20122;2.33354;1.39554;2.95801;1.26857;2.39712;1.32657;3.02038;1.20082;
